name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Apples and similar-, PROCESS Steaming",4.0,0.03,3.0,7.0,92.0,0.0,0.1,0.07,0.322,0.01,0.01,0.0,0.027,0.1,0.006
Apricots,20.0,0.06,11.0,20.0,283.0,,0.8,0.1,0.953,0.05,0.06,0.0,0.06,0.5,0.003
Arbutus berries,47.4,0.062,32.0,55.8,321.0,0.0006,0.9,0.21,1.92,0.06,0.07,0.0,0.18,1.0,
Arrowroots,10.0,0.16,51.0,174.0,922.0,,2.57,0.3,2.983,0.073,0.17,0.0,0.1,0.0,0.0
"Arrowroots, PROCESS Baking",10.0,0.154,49.0,169.0,827.0,,2.5,0.289,2.751,0.069,0.145,0.0,0.085,0.0,0.0
"Arrowroots, PROCESS Cooking in water",10.0,0.148,47.0,166.0,760.0,,2.45,0.278,2.576,0.066,0.136,0.0,0.077,0.0,0.0
"Arrowroots, PROCESS Steaming",10.0,0.148,47.0,166.0,760.0,,2.45,0.278,2.576,0.066,0.136,0.0,0.077,0.0,0.0
"Artificial sweeteners (e.g., aspartam, saccharine)",,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian-style noodles other than glass noodles,15.0,0.3,53.0,125.0,164.0,0.02,2.0,1.5,4.5,0.03,0.03,0.0,0.08,,
"Asian-style noodles other than glass noodles, PROCESS Cooking in water",15.0,0.12,18.0,73.0,49.2,0.001,0.6,0.6,1.52,0.03,0.02,0.0,0.016,0.1,
"Asian-style noodles other than glass noodles, PROCESS Steaming",15.0,0.12,18.0,73.0,50.0,0.001,0.6,0.6,1.52,0.03,0.02,0.0,0.016,0.1,
Asparagus,20.0,0.08,20.0,60.0,200.0,0.001,1.0,0.5,1.383,0.07,0.1,0.0,0.03,1.2,0.039
"Asparagus, PROCESS Baking",28.0,0.169,19.0,49.0,224.0,,0.745,0.49,1.481,0.11,0.113,0.0,0.054,2.207,0.043
"Asparagus, PROCESS Cooking in water",20.0,0.08,13.0,60.0,200.0,0.001,1.0,0.7,1.4,0.07,0.1,0.0,0.03,1.2,0.039
"Asparagus, PROCESS Steaming",20.0,0.08,13.0,60.0,200.0,0.001,1.0,0.7,1.4,0.07,0.1,0.0,0.03,1.2,0.041
Aspartame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ass milk,110.0,0.025,9.0,61.0,70.0,,0.01,0.15,0.507,0.064,0.041,0.0001,0.035,0.1,0.001
Atlantic salmon,12.0,0.03,27.0,244.0,396.0,0.026,1.0,0.6,11.0,0.36,0.13,0.004,0.63,1.9,
"Atlantic salmon, PROCESS Baking",9.0,0.02,32.0,318.0,489.0,0.016,0.2,0.42,15.1,0.17,0.21,0.005019999999999999,0.563,2.5,
"Atlantic salmon, PROCESS Cooking in water",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,12.9,0.08,0.22,0.0039900000000000005,0.402,4.1,
"Atlantic salmon, PROCESS Frying",,,25.0,248.0,399.0,0.028300000000000002,0.242,,13.693,0.32,0.133,0.004200000000000001,0.522,2.645,
"Atlantic salmon, PROCESS Preserving with salt",16.0,0.06,25.0,240.0,390.0,0.026,0.4,0.43,10.35,0.24,0.14,0.0036,0.509,2.0,
"Atlantic salmon, PROCESS Steaming",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,12.9,0.08,0.22,0.0039900000000000005,0.402,4.1,
Aubergines,10.0,0.01,11.0,12.0,200.0,,0.5,0.2,0.8,0.05,0.04,0.0,0.07,,0.001
"Aubergines, PROCESS Baking",32.0,0.099,15.0,39.7,224.0,0.0005,0.408,0.128,1.029,0.047,0.038,0.0,0.068,0.033,0.001
"Aubergines, PROCESS Cooking in water",10.0,0.01,8.0,12.0,200.0,0.001,0.5,0.1,0.749,0.05,0.04,0.0,0.06,,0.001
"Aubergines, PROCESS Frying",20.7,0.028,9.23,25.3,136.0,0.0003,0.22,0.129,0.283,0.017,0.017,0.0,0.034,0.15,0.016399999999999998
"Aubergines, PROCESS Steaming",10.0,0.01,8.0,12.0,200.0,0.001,0.5,0.1,0.846,0.05,0.04,0.0,0.06,,0.001
Avocados,11.0,0.19,25.0,39.0,377.0,0.001,0.4,0.4,1.9,0.18,0.1,0.0,0.36,3.2,0.014
Azuki beans (dry),84.0,1.09,130.0,380.0,1220.0,0.002,4.2,5.0,6.221,0.22,0.45,0.0,0.395,0.57,0.0
"Azuki beans (dry), PROCESS Baking",111.0,0.75,166.0,452.0,1509.0,,7.053,3.306,6.139,0.179,0.548,0.0,0.377,0.573,0.0
"Azuki beans (dry), PROCESS Cooking in water",39.0,0.51,60.0,180.0,570.0,0.001,1.9,2.3,2.4,0.08,0.14,0.0,0.112,0.208,0.0
"Azuki beans (dry), PROCESS Steaming",39.0,0.51,60.0,180.0,570.0,0.001,1.9,2.3,2.4,0.08,0.14,0.0,0.112,0.208,0.0
Bacon,10.0,0.06,17.0,150.0,200.0,0.008,0.7,1.0,8.23,0.1,0.4,0.00065,0.3,,0.0
"Bacon, PROCESS Baking",7.0,0.05,21.0,180.0,340.0,0.012,0.6,1.7,11.0,0.15,1.16,0.001,0.52,0.07,0.0
"Bacon, PROCESS Cooking in water",10.0,,20.0,240.0,360.0,,1.0,,8.324,0.2,0.7,0.0007,0.3,0.2,0.0
"Bacon, PROCESS Frying",27.0,0.17,9.7,96.0,146.0,0.0136,0.67,0.59,2.753,0.127,,0.0007,0.015,0.7,
"Bacon, PROCESS Steaming",10.0,,20.0,240.0,360.0,,1.0,,8.324,0.2,0.7,0.0007,0.3,0.2,0.0
Baking yeast,25.0,1.6,59.0,390.0,610.0,0.001,5.0,3.2,12.83,1.7,0.71,,0.6,,0.0
Baklava,44.0,0.14,22.0,70.0,46.0,0.0022,0.9,0.4,2.0,0.04,0.09,0.0,0.18,,0.009
Bamboo shoots,15.0,0.25,3.0,53.0,468.0,0.001,0.7,0.2,1.033,0.08,0.13,0.0,0.1,0.3,0.005
"Bamboo shoots, PROCESS Cooking in water",33.0,0.19,3.0,41.0,530.0,0.001,0.4,0.65,0.847,0.07,0.15,0.0,0.136,0.6,0.005
"Bamboo shoots, PROCESS Frying",56.7,0.11,8.0,30.1,318.0,4.6e-05,0.4,0.1,0.617,0.075,0.035,0.0,0.09,0.2,
"Bamboo shoots, PROCESS Steaming",33.0,0.19,3.0,41.0,530.0,0.001,0.4,0.65,0.847,0.07,0.15,0.0,0.136,0.6,0.005
Barbecue or steak sauces,12.0,0.079,12.0,17.0,208.0,0.0013,0.9,0.13,0.587,0.032,0.01,0.0,0.041,0.91,0.0
Barley flour,23.0,0.56,89.0,300.0,360.0,0.001,4.5,2.8,7.7,0.11,0.33,0.0,0.33,0.25,0.001
"Barley grain, pearled",15.0,0.4,44.0,200.0,250.0,0.001,2.0,2.0,5.0,0.03,0.03,0.0,0.25,0.4,0.001
"Barley grain, pearled, PROCESS Cooking in water",7.0,0.14,22.0,71.0,92.0,0.0022,1.0,0.7,1.627,0.01,0.02,0.0,0.04,0.1,0.0
"Barley grain, pearled, PROCESS Steaming",7.0,0.14,22.0,71.0,92.0,0.0022,1.0,0.7,1.627,0.01,0.02,0.0,0.04,0.1,0.0
Barley porridge,102.0,0.01,10.0,76.0,127.0,0.0,0.0,0.3,0.0,0.15,0.03,0.00017,0.03,0.0,
"Barley porridge, INGRED Cow milk, skimmed (low fat)",102.0,0.01,10.0,76.0,127.0,0.0,0.0,0.3,0.0,0.15,0.03,0.00017,0.03,0.0,
"Barley porridge, INGRED Cow milk, whole",98.3,0.0516,16.2,94.5,148.1,0.0031,0.4,0.5,0.5,0.12,0.03,0.0003,0.05,0.1,
"Barley porridge, INGRED Tap water",6.8,0.0804,12.8,43.0,51.4,0.0013,0.6,0.4,0.8,0.01,0.04,0.0,0.01,0.1,
Barley rolled grains,60.0,0.42,44.0,350.0,300.0,0.001,4.0,3.1,4.65,0.08,0.09,0.0,0.25,0.3,0.001
Barracudas,20.0,0.05,30.0,200.0,250.0,,1.0,1.1,4.183,0.08,0.12,0.002,0.15,1.7,0.0
"Barracudas, PROCESS Baking",14.0,0.129,32.0,261.0,383.0,,1.184,0.616,12.378,0.385,0.123,0.0096,0.598,1.385,0.002
"Barracudas, PROCESS Cooking in water",14.0,0.127,32.0,259.0,380.0,,1.175,0.611,12.33,0.381,0.122,0.0095,0.593,1.373,0.002
"Barracudas, PROCESS Frying",14.0,0.129,32.0,261.0,383.0,,1.184,0.616,12.378,0.385,0.123,0.0096,0.598,1.385,0.002
"Barracudas, PROCESS Steaming",14.0,0.127,32.0,259.0,380.0,,1.175,0.611,12.33,0.381,0.122,0.0095,0.593,1.373,0.002
Basic sweet masses,115.0,0.49,122.0,262.0,366.0,0.002,1.64,1.6,4.65,0.37,0.1,0.0002,0.08,10.82,0.0
Basil,250.0,0.09,11.0,37.0,300.0,0.0001,5.5,0.7,1.683,0.31,0.08,0.0,0.22,1.6,0.31
Beans (dry) and similar-,80.0,0.49,148.0,400.0,1250.0,0.009,5.0,2.0,6.0,0.1,0.6,0.0,0.35,0.5,0.17
"Beans (dry) and similar-, PROCESS Baking",39.0,0.264,74.0,175.0,377.0,,2.153,1.285,2.545,0.09,0.15,0.0,0.119,0.112,0.0
"Beans (dry) and similar-, PROCESS Cooking in water",38.0,0.26,24.0,170.0,382.0,0.002,2.0,1.0,2.545,0.05,0.11,0.0,0.088,0.2,0.0
"Beans (dry) and similar-, PROCESS Steaming",38.0,0.26,24.0,170.0,382.0,0.002,2.0,1.0,2.545,0.05,0.11,0.0,0.088,0.2,0.0
Beans (fresh seeds without pods) and similar-,23.0,0.11,24.0,130.0,310.0,,0.9,0.9,4.1,0.04,0.04,0.0,0.06,0.46,0.0
"Beans (fresh seeds without pods) and similar-, PROCESS Cooking in water",18.0,0.13,19.0,100.0,190.0,0.0027,0.8,0.7,3.8,0.06,0.03,0.0,0.08,0.4,0.0
"Beans (fresh seeds without pods) and similar-, PROCESS Steaming",18.0,0.13,19.0,100.0,190.0,0.0027,0.8,0.7,3.8,0.06,0.03,0.0,0.08,0.4,0.0
Beans (with pods) and similar-,70.0,0.01,30.0,50.0,250.0,,0.8,0.18,1.02,0.09,0.07,0.0,0.07,0.2,0.036
"Beans (with pods) and similar-, PROCESS Baking",55.7,0.09,77.0,371.0,670.0,0.012,6.5,3.06,6.17,0.2,,0.0,0.556,0.113,0.039
"Beans (with pods) and similar-, PROCESS Cooking in water",54.0,0.08,27.0,42.0,265.0,,0.8,0.37,0.887,0.08,0.05,0.0,0.071,0.3,0.035
"Beans (with pods) and similar-, PROCESS Steaming",54.0,0.08,27.0,42.0,265.0,,0.8,0.37,0.984,0.08,0.05,0.0,0.071,0.3,0.036
Beans and meat meal,20.0,0.1,16.0,91.0,276.0,0.003,1.04,1.7,3.8,0.06,0.07,0.0006,0.19,0.56,0.004
Beans and vegetables meal,58.0,0.27,39.0,93.0,322.0,0.001,2.21,1.1,1.5,0.06,0.1,,0.12,0.083,0.004
Bechamel sauce,139.0,0.01,13.0,109.0,179.0,0.0001,0.19,0.5,1.2,0.26,0.06,0.0004,0.06,2.47,0.004
Beef kidney,11.0,0.48,16.0,240.0,240.0,0.15,7.2,1.9,10.17,2.53,0.5,0.015,0.37,0.6,0.0
"Beef kidney, PROCESS Baking",9.37,0.385,15.0,245.0,223.0,0.12,6.8,1.7,9.33,1.9,0.375,0.023,0.5,0.2,0.0
"Beef kidney, PROCESS Cooking in water",17.0,0.63,19.0,290.0,210.0,0.21,9.0,3.0,11.7,3.29,0.24,0.038,0.57,0.42,
"Beef kidney, PROCESS Frying",14.9,0.5852,22.3,298.5,268.4,0.15059999999999998,9.4,2.6,9.1,2.6,0.24,0.026699999999999998,0.44,1.4,
"Beef kidney, PROCESS Steaming",17.0,0.63,19.0,290.0,210.0,0.21,9.0,3.0,11.7,3.29,0.24,0.038,0.57,0.42,
Beef liver,5.0,8.24,21.0,396.0,365.0,0.029,6.0,4.1,19.867,2.95,0.19,,0.724,1.5,0.075
"Beef liver, PROCESS Baking",4.37,2.35,16.0,330.0,279.0,0.03,5.0,3.7,19.7,2.15,0.18,0.06,0.9,1.0,0.027
"Beef liver, PROCESS Cooking in water",10.0,2.3,19.0,225.0,300.0,0.05,6.0,,12.738,3.0,0.5,0.098,0.35,0.4,0.067
"Beef liver, PROCESS Frying",8.0,2.3,25.0,482.0,465.0,0.039,8.0,5.49,19.1,3.87,0.21,,0.68,0.2,
"Beef liver, PROCESS Steaming",10.0,2.3,19.0,225.0,300.0,0.05,6.0,,12.738,3.0,0.5,0.098,0.35,0.4,0.067
Beef loaf,37.0,0.131,28.0,213.0,345.0,0.0161,2.97,5.131,9.741,0.278,0.067,0.0036,0.161,0.701,0.009
Beef tallow (including processed suet),0.0,0.08,0.0,,,0.0,,0.76,1.83,0.0,0.0,0.0,0.0,0.3,0.0
"Beer, alcohol-free",5.0,0.01,,12.0,28.0,,,0.01,0.743,0.01,,2e-05,0.055,0.0,0.0
"Beer, light",5.0,0.01,,12.0,28.0,,,0.01,0.683,0.01,,2e-05,0.055,0.0,0.0
"Beer, regular",3.0,,8.0,28.0,54.0,,,0.02,1.1,0.03,,2.9999999999999997e-05,0.055,0.0,0.0
"Beer, strong",3.0,,8.0,20.0,53.0,,,0.02,0.57,0.03,,2e-05,0.078,0.0,0.0
"Beerwurst, PROCESS Baking",11.0,0.081,19.0,123.0,233.0,,1.093,2.238,5.013,0.147,0.34,0.0018,0.233,0.294,0.005
"Beerwurst, PROCESS Cooking in water",11.0,0.081,19.0,123.0,233.0,,1.093,2.238,5.013,0.147,0.34,0.0018,0.233,0.294,0.005
"Beerwurst, PROCESS Steaming",11.0,0.081,19.0,123.0,233.0,,1.093,2.238,5.013,0.147,0.34,0.0018,0.233,0.294,0.005
Beetroots,10.0,0.02,14.0,40.0,400.0,,0.4,0.4,0.447,0.05,0.05,0.0,0.045,0.1,0.005
"Beetroots, PROCESS Baking",41.5,0.08,14.0,74.0,442.0,0.0002,0.8,0.37,1.25,,0.05,0.0,0.2,0.8,0.1
"Beetroots, PROCESS Cooking in water",22.0,0.07,13.0,31.0,344.0,,0.3,0.34,0.4,0.05,0.05,0.0,0.038,0.1,0.005
"Beetroots, PROCESS Steaming",22.0,0.07,13.0,31.0,344.0,,0.3,0.34,0.441,0.05,0.05,0.0,0.038,0.1,0.005
Beignets,22.0,0.1,14.0,95.0,109.0,0.004,3.2,0.6,1.516,0.1,0.14,,0.06,1.0,0.003
Bilberries (European blueberries),15.0,0.08,2.0,15.0,80.0,,1.0,0.1,0.45,0.02,0.01,0.0,0.04,1.9,0.012
"Biscuit with inclusions, filling or coating",35.0,0.18,26.0,125.0,379.0,0.005,1.4,0.3,1.92,0.03,0.05,,0.076,2.8,0.006
"Biscuits, chocolate",32.0,0.12,23.0,93.0,187.0,0.003,1.3,0.57,1.567,0.08,0.06,0.0001,0.05,2.3,
"Biscuits, oat meal",35.0,0.14,49.0,142.0,210.0,0.0034,1.7,1.3,3.2,0.02,0.22,,0.006,3.4,0.023
"Biscuits, rusks and cookies for children",520.0,0.1,23.0,148.0,216.0,,,0.67,3.03,0.05,0.6,,0.019,2.8,0.006
"Biscuits, sweet, plain",36.0,0.15,25.0,137.0,223.0,0.004,1.4,0.73,2.38,0.05,0.07,1e-05,0.031,2.4,0.006
"Biscuits, sweet, plain, FORT Combination of vitamin and mineral only supplements",579.0,0.35,195.0,213.0,256.0,0.008,6.4,1.9,2.1,0.08,0.28,4e-05,3.7,31.2,
"Biscuits, sweet, plain, FORT Vitamin only supplements",38.0,0.28,54.0,149.0,275.0,0.006,2.0,1.5,20.1,0.08,0.28,4e-05,3.35,6.3,
"Biscuits, sweet, wheat wholemeal",30.0,0.25,64.0,300.0,300.0,0.004,4.0,2.7,3.3,0.1,0.25,,0.06,4.0,0.006
Bitter almonds,283.0,0.65,305.0,625.0,822.0,0.002,3.3,3.1,7.397,0.7,0.11,0.0,0.06,21.8,0.0
Bitter chocolate,50.0,1.1,89.0,150.0,400.0,0.004,3.2,1.3,1.683,0.09,0.05,0.00029,0.018,1.3,
"Bitter chocolate, QUAL Sugar free",150.0,1.1,89.0,150.0,400.0,0.004,3.2,1.3,0.8,0.09,0.05,0.00029,0.018,1.3,
Bitter-sweet chocolate,41.0,1.185,,29.0,,0.0045,,0.1,1.48,,,,,0.9,
"Bitter-sweet chocolate, QUAL Sugar free",150.0,1.1,89.0,150.0,400.0,0.004,3.2,1.3,0.8,0.09,0.05,0.00029,0.018,1.3,
Blackberries,60.0,0.11,23.0,25.0,185.0,,1.0,0.2,0.65,0.04,0.03,0.0,0.03,2.4,0.0
Blackcurrants,30.0,0.14,17.0,50.0,175.0,0.001,1.0,0.3,0.55,0.04,0.08,0.0,0.07,1.0,0.03
Blended fat and oils,15.0,0.03,2.0,24.0,15.0,0.0005,0.2,0.1,0.146,0.0,0.012,0.0001,0.013,2.9,0.006
"Blended fat and oils, QUAL Half fat or medium fat",57.0,0.025,12.0,48.0,104.0,0.0003,0.27,0.355,0.474,0.0,0.025,0.0001,0.031,1.13,0.012
"Blended fat and oils, QUAL Low fat (naturally or reduced)",100.0,0.022,11.0,80.0,130.0,0.0002,0.13,0.38,0.7,0.0,0.04,0.0005,0.04,0.66,0.0
"Blended fat and oils, QUAL Low sodium / reduced salt",39.0,0.002,5.0,39.0,50.0,,0.011,0.274,0.263,0.0,0.012,0.0001,0.013,1.6,0.006
Blended frying oil/fats,,0.01,,3.0,,0.003,0.01,0.1,0.0,0.0,0.0,0.0,0.0,,0.0713
Blended margarine,12.0,0.019,4.26,17.8,38.0,0.000376,0.032,0.112,0.157,0.026,0.005,9.2e-05,,5.08,
"Blended margarine, QUAL Half fat or medium fat",23.5,0.016,6.5,18.0,24.5,,0.040499999999999994,0.1215,0.27349999999999997,0.0405,0.0095,0.0001,0.0075,1.94,0.0385
"Blended margarine, QUAL Low fat (naturally or reduced)",17.5,0.003,4.5,144.0,43.5,,0.03,0.047,0.27349999999999997,0.025,0.006,0.0001,0.003,4.835,0.0385
"Blended margarine, QUAL Low sodium / reduced salt",8.0,0.033,11.0,8.0,6.0,,0.05,0.133,0.07,0.025,0.007,0.0,0.003,0.0,0.043
Blood-type sausage,15.0,0.11,16.0,22.0,300.0,0.014,6.6,0.7,2.68,0.14,0.6,0.0023,0.035,0.2,0.0
"Blood-type sausage, QUAL Low fat (naturally or reduced)",19.0,0.065,23.0,119.0,187.0,,6.702,1.126,5.168,0.112,0.441,0.0011,0.318,0.173,0.0
Blueberries,5.0,0.08,5.0,12.0,85.0,,0.3,0.2,0.583,0.03,0.02,0.0,0.05,1.9,0.012
"Bockwurst, PROCESS Baking",15.0,0.08,22.0,69.0,230.0,,0.818,1.578,4.593,0.152,0.409,0.0009,0.249,0.259,0.01
"Bockwurst, PROCESS Cooking in water",15.0,0.08,22.0,69.0,230.0,,0.818,1.578,4.593,0.152,0.409,0.0009,0.249,0.259,0.01
"Bockwurst, PROCESS Steaming",15.0,0.08,22.0,69.0,230.0,,0.818,1.578,4.593,0.152,0.409,0.0009,0.249,0.259,0.01
"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Baking",24.0,0.134,26.0,176.0,270.0,,1.085,1.857,8.968,0.09,0.071,0.0005,0.333,0.444,0.0
"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",24.0,0.134,26.0,176.0,270.0,,1.085,1.857,8.968,0.09,0.071,0.0005,0.333,0.444,0.0
"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Steaming",24.0,0.134,26.0,176.0,270.0,,1.085,1.857,8.968,0.09,0.071,0.0005,0.333,0.444,0.0
Bogue,65.0,0.9,22.0,,348.0,,4.1,2.0,,,,,,,
Boiled eggs,64.0,0.07,15.0,247.0,141.0,0.02,2.4,1.63,3.7,0.35,0.06,0.0015400000000000001,0.114,4.2,0.009
"Bologna-type sausage, PROCESS Baking",0.0,0.0,14.0,146.0,166.0,,0.822,1.688,5.472,0.113,0.203,0.0019,0.162,0.744,0.0
"Bologna-type sausage, PROCESS Cooking in water",18.0,0.06,13.0,286.0,258.0,0.008,1.3,1.7,6.133,0.12,0.14,0.00066,0.035,0.3,0.0
"Bologna-type sausage, PROCESS Steaming",18.0,0.06,13.0,286.0,258.0,0.008,1.3,1.7,6.133,0.12,0.14,0.00066,0.035,0.3,0.0
"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",18.0,0.06,13.0,150.0,200.0,0.008,1.3,1.7,3.5,0.12,0.14,0.00066,0.035,,
"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",18.0,0.06,13.0,150.0,200.0,0.008,1.3,1.7,3.5,0.12,0.14,0.00066,0.035,,
"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Cooking in water",21.3,0.1101,44.7,247.5,501.3,0.0201,2.7,4.0,6.7,0.24,0.52,0.0014,0.49,0.5,
"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Steaming",21.3,0.1101,44.7,247.5,501.3,0.0201,2.7,4.0,6.7,0.24,0.52,0.0014,0.49,0.5,
Borage,93.0,0.11,52.0,53.0,470.0,,3.3,1.0,1.3,0.15,0.06,0.0,0.18,1.0,0.0
Borage seeds,93.0,0.11,52.0,53.0,470.0,,3.3,1.0,1.3,0.15,0.06,0.0,0.18,1.0,0.0
Borlotti or other common beans (dry),80.0,0.49,148.0,400.0,1250.0,0.009,5.0,2.0,6.17,0.1,0.6,0.0,0.35,0.5,0.17
"Borlotti or other common beans (dry), PROCESS Baking",39.0,0.264,74.0,175.0,377.0,,2.153,1.285,2.545,0.09,0.15,0.0,0.119,0.112,0.0
"Borlotti or other common beans (dry), PROCESS Cooking in water",38.0,0.26,24.0,170.0,382.0,0.002,2.0,1.0,2.545,0.05,0.11,0.0,0.088,0.2,
"Borlotti or other common beans (dry), PROCESS Steaming",38.0,0.26,24.0,170.0,382.0,0.002,2.0,1.0,2.545,0.05,0.11,0.0,0.088,0.2,
